,index,위경도 missing
413,1986,서울특별시 성동구 행당동 68번지 
414,1989,서울특별시 성동구 성수동2가 594-0번지 
415,2001,서울특별시 성동구 금호동2가 872-1번지 
416,2005,서울특별시 성동구 홍익동 131-0번지 
417,2014,서울특별시 성동구 상왕십리동 340-1번지 
418,2015,서울특별시 성동구 성수동1가 656-6011번지 
419,2016,서울특별시 성동구 상왕십리동 762-4번지 
420,2022,서울특별시 성동구 성수동2가 275-17번지 
421,2024,서울특별시 성동구 상왕십리동 340-0번지 
422,2025,서울특별시 성동구 상왕십리동 269-1번지 
423,2026,서울특별시 성동구 상왕십리동 297-3번지 
424,2027,서울특별시 성동구 도선동 4-0번지 
425,2028,서울특별시 성동구 도선동 58-0번지 
426,2032,서울특별시 성동구 행당동 158-57번지 
427,2037,서울특별시 성동구 성수동1가 561-2번지 
428,2042,서울특별시 성동구 행당동 259-2번지 
429,2043,서울특별시 광진구 군자동 361-10번지 
430,2045,서울특별시 광진구 화양동 18-23번지 
431,2047,서울특별시 광진구 광장동 188-2번지 
432,2063,서울특별시 광진구 군자동 477-13번지 
433,2066,서울특별시 광진구 화양동 115-8번지 
434,2068,서울특별시 광진구 화양동 111-105번지 한일장 
435,2069,서울특별시 광진구 화양동 23-16번지 
436,2072,서울특별시 광진구 화양동 23-8번지 
437,2076,서울특별시 광진구 화양동 18-12 
438,2078,서울특별시 광진구 군자동 477-15번지 
439,2083,서울특별시 광진구 화양동 20-16 
440,2086,서울특별시 광진구 구의동 66-56번지 
441,2089,"서울특별시 광진구 구의동 59-4번지 ,5 "
442,2090,서울특별시 광진구 구의동 71-1번지 
443,2095,서울특별시 광진구 화양동 23-9번지 
444,2103,서울특별시 광진구 자양동 779-10번지 
445,2104,서울특별시 광진구 화양동 23-19번지 
446,2105,서울특별시 광진구 구의동 71-29번지 
447,2114,서울특별시 광진구 화양동 23-16번지 
448,2119,서울특별시 광진구 자양동 236-64번지 
449,2120,서울특별시 광진구 자양동 236-103번지 
450,2124,서울특별시 광진구 구의동 123-10번지 
451,2126,서울특별시 광진구 중곡동 146-14번지 
452,2130,서울특별시 광진구 화양동 20-9번지 
453,2133,서울특별시 광진구 자양동 236-90번지 
454,2134,"서울특별시 광진구 화양동 110-17번지 2,3층 "
455,2143,서울특별시 광진구 화양동 110-3번지 
456,2144,서울특별시 광진구 화양동 23-18번지 
457,2146,서울특별시 광진구 자양동 74-1번지 
458,2167,서울특별시 광진구 자양동 581-4번지 
459,2218,서울특별시 광진구 구의동 246-39
460,2228,"서울특별시 동대문구 제기동 285-6번지 3,4층 "
461,2247,서울특별시 동대문구 휘경동 319-12번지 지하2~지상10층 
462,2251,서울특별시 동대문구 장안동 466-17 
463,2285,서울특별시 동대문구 휘경동 183-144번지 1~3층 
464,2288,서울특별시 동대문구 답십리동 952-17번지 비에이치케이일(BHK1) 
465,2305,서울특별시 동대문구 신설동 92-35번지 지상2층~13층 
466,2307,서울특별시 동대문구 신설동 76-32 
467,2310,"서울특별시 동대문구 장안동 365-6,7"
468,2312,서울특별시 동대문구 전농동 620-103번지 1층 
469,2315,서울특별시 동대문구 용두동 9-4번지 (답십리길20) 
470,2323,서울특별시 동대문구 용두동 253-210번지 (동진길35) 
471,2325,서울특별시 동대문구 용두동 73-1번지 (용일안1길3) 
472,2328,서울특별시 동대문구 회기동 73-11번지 (이문로17-3) 
473,2329,서울특별시 성북구 하월곡동 29-78번지 
474,2330,서울특별시 용산구 한강로2가 157-5
475,2331,서울특별시 동대문구 용두동 73-62번지 (용일안길7-7) 
476,2334,서울특별시 동대문구 신설동 98-24번지 지상3층~20층 
477,2337,서울특별시 동대문구 신설동 76-57번지 
478,2345,서울특별시 동대문구 전농동 644-72
479,2353,서울특별시 동대문구 장안동 429-1번지 1~7층 
480,2359,서울특별시 동대문구 청량리동 205-707번지 3~4층 
481,2369,서울특별시 동대문구 용두동 65-2번지 (용일안2길8-5) 
482,2372,서울특별시 동대문구 전농동 620-116번지 
483,2374,서울특별시 동대문구 전농동 314-11번지 (사가정길67-2) 
484,2375,서울특별시 동대문구 전농동 620-40번지 2~4층 
485,2376,서울특별시 동대문구 전농동 620-38번지 2~5 
486,2377,서울특별시 동대문구 용두동 712-2번지 
487,2379,서울특별시 동대문구 휘경동 140-17번지 
488,2380,서울특별시 동대문구 용두동 765-13번지 
489,2381,서울특별시 동대문구 용두동 712-55번지 
490,2386,서울특별시 동대문구 제기동 136-39 2~3층
491,2389,서울특별시 동대문구 용두동 65-26번지 (용일안길31) 
492,2392,서울특별시 동대문구 전농동 504-63번지 (활터7길11-1) 
493,2393,서울특별시 동대문구 장안동 456-20번지 지상1~3층 
494,2394,서울특별시 동대문구 장안동 456-4번지 지상1~3층 
495,2398,서울특별시 동대문구 용두동 66-12번지 (용일안1길8-1) 
496,2399,서울특별시 동대문구 용두동 65-21번지 
497,2404,서울특별시 동대문구 휘경동 336-7번지 
498,2405,서울특별시 성북구 보문동4가 1-56번지 
499,2410,서울특별시 동대문구 용두동 73-1번지 (용일안1길3) 
500,2412,서울특별시 동대문구 용두동 73-6번지 (하정로121-8) 
501,2414,서울특별시 동대문구 용두동 66-3번지 (용일안길15-1) 
502,2415,서울특별시 동대문구 용두동 74-6번지 
503,2416,서울특별시 동대문구 용두동 712-84번지 
504,2417,서울특별시 동대문구 용두동 687-3번지 
505,2418,서울특별시 동대문구 용두동 66-7번지 (용일안길11) 
506,2420,서울특별시 동대문구 용두동 687-2번지 
507,2423,서울특별시 동대문구 전농동 655-22번지 1통4반 (답십리길89-4) 
508,2424,서울특별시 동대문구 신설동 25-44 
509,2426,서울특별시 동대문구 전농동 352-5번지 
510,2430,서울특별시 동대문구 답십리동 473-38번지 (간데메동길6) 
511,2431,서울특별시 동대문구 용두동 73-47번지 (하정로121-3) 
512,2434,서울특별시 동대문구 이문동 257-143번지 
