,사업장명,관광숙박업상세명,건물용도명,지번주소,도로명주소,위도,경도,객실수,시설면적,시설규모,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자
345,호텔씨에스에비뉴,관광호텔업,숙박시설,서울특별시 은평구 응암동 30-2 ,서울특별시 은평구 통일로 585-1 (응암동),37.5990904204633,126.936400435479,,2629.92,2630.0,20141031,,1,,,,,2022-01-22 02:40:00.0
346,시안호텔,관광호텔업,숙박시설,서울특별시 은평구 대조동 15-136 ,서울특별시 은평구 진흥로 169 (대조동),37.6087906378493,126.928491909253,,2331.44,2331.0,20181026,,1,,,,,2021-12-24 02:40:00.0
347,호텔미라보,,,서울특별시 서대문구 대현동 104-36번지 ,,37.55684321267,126.942455821627,,,,19900905,,3,20070821,,,,2018-08-31 23:59:59.0
348,포레스타호텔,,,서울특별시 은평구 대조동 15-132,서울특별시 은평구 진흥로 179 (대조동),37.6085950616654,126.929437539363,,,,20191025,,1,,,,,2021-11-02 00:08:00.0
349,호텔 맥,,,서울특별시 은평구 불광동 486-22,서울특별시 은평구 통일로80길 7 (불광동),37.620089878129,126.921325064046,,,,20161228,,1,,,,,2021-12-06 22:00:00.0
350,호텔 그레이스리 서울,,,서울특별시 중구 남대문로4가 17-19,서울특별시 중구 세종대로12길 12 (남대문로4가),37.5615970265873,126.976968686944,,,,20180823,,1,,,,,2021-12-06 21:00:00.0
351,그린홈 호스텔,,,서울특별시 도봉구 쌍문동 88-67,서울특별시 도봉구 도봉로117길 8-6 (쌍문동),37.6496703505438,127.034710220147,,,,20190709,,1,,,,,2021-12-07 22:00:00.0
352,신촌라싸 관광호텔,관광호텔업,숙박시설,서울특별시 서대문구 창천동 18-81 ,서울특별시 서대문구 연세로2가길 3 (창천동),37.5561093436584,126.937310914402,41.0,1785.96,1786.0,20160201,,1,,,,,2020-11-03 02:40:00.0
353,디케이하우스(DK HOUSE),호스텔업,숙박시설,서울특별시 서대문구 대현동 90-37 ,"서울특별시 서대문구 이화여대1안길 15, 4~8층 (대현동)",37.5575457691385,126.944247884236,8.0,484.66,485.0,20191210,,1,,,,,2022-01-15 02:40:00.0
354,궁전호스텔,호스텔업,,서울특별시 서대문구 대현동 101-17 6층 ,"서울특별시 서대문구 신촌로 155, 6층 (대현동, 해암빌딩)",37.5568918752396,126.943405892772,16.0,420.0,420.0,20170608,,1,,,,,2020-12-03 02:40:00.0
