,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
512,4.6,80000,24,5051,45,0.01,0.96,0.24,82,4,0.12,0.67,0.25,0.58,25623.29,26003.28,51626.57,7,8,0.11,0.51,0.23,0.42
513,4.7,100000,16,511,45,0.01,0.95,0.24,81,4,0.13,0.67,0.26,0.59,25094.88,25883.12,50978.0,7,8,0.09,0.5,0.22,0.41
514,4.5,80000,36,4958,45,0.15,0.89,0.38,82,4,0.11,0.65,0.39,0.67,30475.15,31061.87,61537.02,10,11,0.23,0.64,0.1,0.48
515,4.2,59000,23,713,47,0.05,0.94,0.29,82,4,0.1,0.69,0.32,0.55,26909.17,27659.74,54568.91,6,8,0.22,0.52,0.32,0.52
516,3.8,60000,41,1985,45,0.03,0.93,0.23,79,4,0.15,0.66,0.28,0.59,25302.79,26115.74,51418.53,7,8,0.08,0.51,0.2,0.4
517,4.2,65000,28,2982,14,0.08,0.89,0.44,73,3,0.06,0.56,0.18,0.38,20343.93,20960.82,41304.76,5,2,0.77,0.86,0.77,0.77
518,4.5,58000,19,2378,45,0.02,0.97,0.26,81,4,0.08,0.66,0.25,0.62,24870.29,25586.32,50456.61,7,8,0.04,0.46,0.15,0.36
519,4.7,75102,13,38,19,0.67,1.0,0.88,103,6,0.03,0.66,0.61,0.79,13050.09,12565.23,25615.32,5,4,0.65,0.87,0.1,0.63
520,4.5,55000,27,1243,45,0.02,0.98,0.27,82,4,0.06,0.66,0.25,0.62,24603.06,25290.62,49893.68,7,9,0.05,0.45,0.13,0.42
521,4.6,70000,36,4084,46,0.02,0.97,0.25,74,4,0.09,0.65,0.35,0.59,27040.26,27518.71,54558.97,7,8,0.12,0.55,0.21,0.43
522,4.4,79000,24,331,45,0.01,0.88,0.29,74,3,0.06,0.62,0.37,0.53,26712.8,27527.7,54240.5,8,9,0.09,0.55,0.05,0.39
523,4.3,70000,25,302,14,0.08,0.96,0.42,74,3,0.04,0.58,0.15,0.38,19772.04,20347.68,40119.72,7,2,0.76,0.9,0.85,0.85
524,4.6,75102,12,2438,2,0.1,0.7,0.4,113,7,0.09,0.65,0.16,0.57,17152.47,16941.08,34093.55,13,1,0.3,0.77,0.95,0.95
